월,헬스
2004-01,55
2004-02,56
2004-03,51
2004-04,43
2004-05,31
2004-06,39
2004-07,43
2004-08,43
2004-09,36
2004-10,38
2004-11,16
2004-12,38
2005-01,45
2005-02,54
2005-03,39
2005-04,37
2005-05,36
2005-06,27
2005-07,42
2005-08,45
2005-09,31
2005-10,22
2005-11,35
2005-12,36
2006-01,44
2006-02,42
2006-03,41
2006-04,39
2006-05,33
2006-06,30
2006-07,34
2006-08,36
2006-09,26
2006-10,23
2006-11,20
2006-12,19
2007-01,26
2007-02,34
2007-03,25
2007-04,24
2007-05,23
2007-06,26
2007-07,24
2007-08,27
2007-09,24
2007-10,26
2007-11,23
2007-12,25
2008-01,34
2008-02,30
2008-03,28
2008-04,28
2008-05,26
2008-06,32
2008-07,28
2008-08,29
2008-09,37
2008-10,25
2008-11,21
2008-12,28
2009-01,27
2009-02,28
2009-03,29
2009-04,27
2009-05,24
2009-06,31
2009-07,34
2009-08,29
2009-09,31
2009-10,28
2009-11,28
2009-12,25
2010-01,34
2010-02,32
2010-03,35
2010-04,37
2010-05,34
2010-06,34
2010-07,41
2010-08,46
2010-09,42
2010-10,42
2010-11,47
2010-12,46
2011-01,53
2011-02,41
2011-03,44
2011-04,35
2011-05,37
2011-06,41
2011-07,47
2011-08,45
2011-09,47
2011-10,74
2011-11,100
2011-12,37
2012-01,73
2012-02,52
2012-03,50
2012-04,41
2012-05,40
2012-06,36
2012-07,36
2012-08,33
2012-09,32
2012-10,32
2012-11,31
2012-12,27
2013-01,39
2013-02,41
2013-03,43
2013-04,40
2013-05,38
2013-06,40
2013-07,62
2013-08,48
2013-09,37
2013-10,34
2013-11,35
2013-12,38
2014-01,42
2014-02,39
2014-03,42
2014-04,38
2014-05,42
2014-06,43
2014-07,49
2014-08,41
2014-09,38
2014-10,38
2014-11,37
2014-12,39
2015-01,42
2015-02,44
2015-03,46
2015-04,48
2015-05,45
2015-06,46
2015-07,43
2015-08,45
2015-09,40
2015-10,44
2015-11,43
2015-12,42
2016-01,41
2016-02,37
2016-03,42
2016-04,39
2016-05,41
2016-06,41
2016-07,41
2016-08,38
2016-09,35
2016-10,33
2016-11,37
2016-12,34
2017-01,39
2017-02,40
2017-03,42
2017-04,42
2017-05,44
2017-06,40
2017-07,43
2017-08,43
2017-09,43
2017-10,40
2017-11,45
2017-12,44
2018-01,48
2018-02,44
2018-03,45
2018-04,52
2018-05,48
2018-06,46
2018-07,53
2018-08,54
2018-09,50
2018-10,48
2018-11,48
2018-12,48
2019-01,54
2019-02,55
2019-03,53
2019-04,49
2019-05,53
2019-06,55
2019-07,63
2019-08,62
2019-09,62
2019-10,60
2019-11,56
2019-12,54
2020-01,75
2020-02,73
2020-03,68
2020-04,61
2020-05,64
2020-06,66
2020-07,69
2020-08,68
2020-09,58
2020-10,52
2020-11,56
2020-12,51
2021-01,56
2021-02,54
2021-03,50
2021-04,51
2021-05,47
2021-06,53
2021-07,51
2021-08,46
2021-09,45
2021-10,42
2021-11,47
2021-12,46
2022-01,52
2022-02,52
2022-03,60
2022-04,62
2022-05,66
2022-06,65
2022-07,67
2022-08,64
2022-09,63
2022-10,57
2022-11,59
2022-12,59
2023-01,62
2023-02,72
2023-03,66
2023-04,75
2023-05,57
2023-06,55
2023-07,59
2023-08,59
2023-09,58
2023-10,50
2023-11,53
2023-12,47
2024-01,54
2024-02,54
2024-03,61
2024-04,56
2024-05,58
2024-06,57
2024-07,60
2024-08,60
2024-09,61
2024-10,59
2024-11,56
