date,value
2020-12-27,48
2021-01-03,58
2021-01-10,63
2021-01-17,60
2021-01-24,55
2021-01-31,60
2021-02-07,43
2021-02-14,58
2021-02-21,56
2021-02-28,50
2021-03-07,54
2021-03-14,53
2021-03-21,58
2021-03-28,59
2021-04-04,56
2021-04-11,58
2021-04-18,55
2021-04-25,59
2021-05-02,52
2021-05-09,58
2021-05-16,54
2021-05-23,56
2021-05-30,58
2021-06-06,55
2021-06-13,57
2021-06-20,62
2021-06-27,59
2021-07-04,59
2021-07-11,63
2021-07-18,60
2021-07-25,51
2021-08-01,55
2021-08-08,54
2021-08-15,50
2021-08-22,47
2021-08-29,56
2021-09-05,54
2021-09-12,55
2021-09-19,45
2021-09-26,50
2021-10-03,54
2021-10-10,47
2021-10-17,50
2021-10-24,54
2021-10-31,59
2021-11-07,53
2021-11-14,56
2021-11-21,52
2021-11-28,51
2021-12-05,53
2021-12-12,51
2021-12-19,52
2021-12-26,61
2022-01-02,51
2022-01-09,50
2022-01-16,45
2022-01-23,45
2022-01-30,37
2022-02-06,46
2022-02-13,49
2022-02-20,48
2022-02-27,43
2022-03-06,47
2022-03-13,59
2022-03-20,53
2022-03-27,57
2022-04-03,58
2022-04-10,62
2022-04-17,61
2022-04-24,62
2022-05-01,57
2022-05-08,63
2022-05-15,66
2022-05-22,61
2022-05-29,65
2022-06-05,62
2022-06-12,65
2022-06-19,66
2022-06-26,66
2022-07-03,70
2022-07-10,71
2022-07-17,69
2022-07-24,69
2022-07-31,68
2022-08-07,67
2022-08-14,66
2022-08-21,65
2022-08-28,63
2022-09-04,54
2022-09-11,58
2022-09-18,62
2022-09-25,65
2022-10-02,57
2022-10-09,56
2022-10-16,57
2022-10-23,57
2022-10-30,56
2022-11-06,57
2022-11-13,59
2022-11-20,55
2022-11-27,55
2022-12-04,56
2022-12-11,55
2022-12-18,55
2022-12-25,60
2023-01-01,62
2023-01-08,63
2023-01-15,62
2023-01-22,59
2023-01-29,70
2023-02-05,69
2023-02-12,67
2023-02-19,79
2023-02-26,69
2023-03-05,74
2023-03-12,70
2023-03-19,69
2023-03-26,65
2023-04-02,76
2023-04-09,84
2023-04-16,79
2023-04-23,69
2023-04-30,60
2023-05-07,67
2023-05-14,67
2023-05-21,69
2023-05-28,66
2023-06-04,69
2023-06-11,75
2023-06-18,80
2023-06-25,74
2023-07-02,80
2023-07-09,89
2023-07-16,81
2023-07-23,77
2023-07-30,80
2023-08-06,76
2023-08-13,74
2023-08-20,78
2023-08-27,85
2023-09-03,86
2023-09-10,73
2023-09-17,77
2023-09-24,58
2023-10-01,61
2023-10-08,71
2023-10-15,63
2023-10-22,65
2023-10-29,65
2023-11-05,65
2023-11-12,65
2023-11-19,69
2023-11-26,65
2023-12-03,62
2023-12-10,65
2023-12-17,62
2023-12-24,62
2023-12-31,71
2024-01-07,72
2024-01-14,71
2024-01-21,72
2024-01-28,78
2024-02-04,71
2024-02-11,73
2024-02-18,78
2024-02-25,76
2024-03-03,89
2024-03-10,86
2024-03-17,88
2024-03-24,85
2024-03-31,80
2024-04-07,78
2024-04-14,81
2024-04-21,79
2024-04-28,81
2024-05-05,79
2024-05-12,81
2024-05-19,84
2024-05-26,100
2024-06-02,82
2024-06-09,85
2024-06-16,80
2024-06-23,80
2024-06-30,83
2024-07-07,92
2024-07-14,90
2024-07-21,93
2024-07-28,86
2024-08-04,82
2024-08-11,85
2024-08-18,85
2024-08-25,81
2024-09-01,89
2024-09-08,81
2024-09-15,71
2024-09-22,84
2024-09-29,80
2024-10-06,81
2024-10-13,84
2024-10-20,81
2024-10-27,81
2024-11-03,76
2024-11-10,79
2024-11-17,80
2024-11-24,86
